Country,Year,Value (t)
Brazil,2023,2116567.93
Viet Nam,2023,1243387.78
Colombia,2023,581350.58
Uganda,2023,368721
Honduras,2023,333609.71
Germany,2023,301987.72
Indonesia,2023,276335.17
Ethiopia,2023,235373.37
India,2023,232176.71
Belgium,2023,216004.57
Peru,2023,204548.44
Guatemala,2023,182082.07
Nicaragua,2023,139511.41
Mexico,2023,84644.47
United Republic of Tanzania,2023,84394.11
Netherlands (Kingdom of the),2023,78803.99
Costa Rica,2023,60262.72
United States of America,2023,58811.4
Papua New Guinea,2023,53521.87
Kenya,2023,48822.17
Brazil,2022,2132062.67
Viet Nam,2022,1314398.46
Colombia,2022,629756.67
Indonesia,2022,434298.83
Uganda,2022,370145
Germany,2022,318018.89
Honduras,2022,311129.87
Ethiopia,2022,273116.37
India,2022,270299.66
Belgium,2022,267941.68
Peru,2022,236946.24
Guatemala,2022,193774.23
Nicaragua,2022,155994.53
Mexico,2022,116563.82
Netherlands (Kingdom of the),2022,73784.9
Costa Rica,2022,62344.2
United States of America,2022,60779.7
United Republic of Tanzania,2022,58433.26
Spain,2022,57157.23
C�te d'Ivoire,2022,54528.13
Brazil,2021,2282845.68
Viet Nam,2021,1188200.47
Colombia,2021,687865.85
Uganda,2021,405092.59
Honduras,2021,387661.08
Indonesia,2021,380347.72
Germany,2021,343910.89
Ethiopia,2021,303679.24
Belgium,2021,265116
India,2021,263401.31
Guatemala,2021,226013.03
Peru,2021,191623.87
Nicaragua,2021,152109.65
Mexico,2021,95137.22
Costa Rica,2021,69015.81
United Republic of Tanzania,2021,67951.5
Spain,2021,46279.73
Papua New Guinea,2021,40742.07
Lao People's Democratic Republic,2021,38112.95
Kenya,2021,37477.65
Brazil,2020,2372632.78
Viet Nam,2020,1231298.41
Colombia,2020,694927.71
Indonesia,2020,375670.63
Germany,2020,340059.7
Uganda,2020,329372.53
Honduras,2020,320565.75
Belgium,2020,241339.96
Ethiopia,2020,231342.93
Peru,2020,213235.51
India,2020,205809.21
Guatemala,2020,189488.79
Nicaragua,2020,149116.76
Mexico,2020,100725.24
Costa Rica,2020,69653.68
C�te d'Ivoire,2020,66290.05
United Republic of Tanzania,2020,64000.24
"China, mainland",2020,49169.11
Kenya,2020,43386.11
Lao People's Democratic Republic,2020,42488.07
Brazil,2019,2230872.01
Viet Nam,2019,1409809.81
Colombia,2019,753366.23
Honduras,2019,411806.48
Germany,2019,356233.36
Indonesia,2019,327261.95
Uganda,2019,276836.24
Ethiopia,2019,259813.53
India,2019,232663.8
Peru,2019,232039.33
Belgium,2019,231945.67
Guatemala,2019,214906.58
Nicaragua,2019,170300.93
C�te d'Ivoire,2019,108578.96
Mexico,2019,98087.21
United Republic of Tanzania,2019,76226.09
"China, mainland",2019,66965.68
Costa Rica,2019,63068.47
Papua New Guinea,2019,50859.81
Kenya,2019,48726.43
Brazil,2018,1826999.74
Viet Nam,2018,1613486
Colombia,2018,712695.89
Honduras,2018,429741.37
Germany,2018,361666.15
Indonesia,2018,277475.4
Peru,2018,261255.65
Uganda,2018,252166.29
India,2018,229986.49
Belgium,2018,216219.2
Guatemala,2018,205925.46
Nicaragua,2018,136505.61
Mexico,2018,113354.36
Ethiopia,2018,111254.45
"China, mainland",2018,90077.77
C�te d'Ivoire,2018,76795.92
Costa Rica,2018,75245.77
United Republic of Tanzania,2018,56346.62
Papua New Guinea,2018,50317.06
Kenya,2018,44596.59
Brazil,2017,1647811.41
Viet Nam,2017,1459345.22
Colombia,2017,712542.05
Indonesia,2017,448905.78
Honduras,2017,430742.92
Germany,2017,348494.67
Uganda,2017,286997.75
India,2017,262769.62
Peru,2017,245734.99
Belgium,2017,211167.91
Guatemala,2017,203434.97
Ethiopia,2017,194175.19
Nicaragua,2017,127565.29
Mexico,2017,112988.4
Costa Rica,2017,69085.83
"China, mainland",2017,60554.98
Papua New Guinea,2017,55356.52
Kenya,2017,43469.62
United Republic of Tanzania,2017,41362.91
C�te d'Ivoire,2017,39951.95
Brazil,2016,1823885.58
Viet Nam,2016,1700998.38
Colombia,2016,734688.67
Indonesia,2016,412528.87
Germany,2016,335643.11
Honduras,2016,309923.63
India,2016,250414.98
Peru,2016,239343.01
Uganda,2016,210584.01
Belgium,2016,188781.34
Guatemala,2016,182587.63
Ethiopia,2016,159711.82
Nicaragua,2016,117657.27
"China, mainland",2016,82666.25
Mexico,2016,79916.14
Costa Rica,2016,75495.45
C�te d'Ivoire,2016,73409.46
United Republic of Tanzania,2016,57925.28
Papua New Guinea,2016,54842.89
Kenya,2016,45301.18
Brazil,2015,2005034.06
Viet Nam,2015,1280201.5
Colombia,2015,713060.32
Indonesia,2015,499651.29
Germany,2015,310833.96
Honduras,2015,285227.99
Ethiopia,2015,234217.5
Uganda,2015,219335.62
India,2015,209419.39
Belgium,2015,189802.89
Guatemala,2015,183349.67
Peru,2015,175200.81
Nicaragua,2015,103756.66
Mexico,2015,91998.04
Costa Rica,2015,68578.86
C�te d'Ivoire,2015,65218.36
"China, mainland",2015,61639.23
United Republic of Tanzania,2015,57820.1
Kenya,2015,42900
Papua New Guinea,2015,41849.48
